グループ	MapID	ソート用	マップ上の名前	名前	CAS	PubChem	KEGG	Inchikey	ChEBI	HMDB	Lipidmaps	lipid categories No.
sawai	SBmap07	Guanosine triphosphate	GTP	Guanosine triphosphate;Guanosine 5'-triphosphate	86-01-1;36051-31-7;56001-37-7	135398633	C00044	XKMLYUALXHKNFT-UUOKFMHZSA-N	CHEBI:15996			
sawai	SBmap07	Lysine	Lysine	Lysine;L-Lysine;Lys	56-87-1;48050-57-3;6899-06-5;280114-50-3;1150316-18-9;1153953-95-7;2087491-46-9;2139267-51-7;12798-06-0;20166-34-1;25104-18-1;26714-32-9;923-27-3	5962	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	CHEBI:18019			
sawai	SBmap07	Glyoxylic acid	Glyoxylic acid	Glyoxylic acid;Glyoxylate	298-12-4;872051-56-4	760	C00048	HHLFWLYXYJOTON-UHFFFAOYSA-N	CHEBI:16891			
sawai	SBmap05	Aspartic acid	L-Aspartate	L-Asparate	56-84-8	5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	CHEBI:17053			
sawai	SBmap07	Aspartic acid	Aspartic acid	Aspartic acid;Aspartate;Asp	56-84-8	5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	CHEBI:17053			
sawai	SBmap07	Glutathione	Glutathione	Glutathione;L-Cysteinylglycine;Cys-Gly	70-18-8;1109226-07-4;1655518-50-5	124886	C00051	RWSXRVCMGQZWBV-WDSKDSINSA-N	CHEBI:16856			
sawai	SBmap11	UDP-alpha-D-galactose	UDP-Galac		2956-16-3	18068	C00052	HSCJRCZFDFQWRP-ABVWGUQPSA-N	CHEBI:67119			
sawai	SBmap07	Cytidine monophosphate	CMP	Cytidine monophosphate;Cytidine-5'-monophosphate	63-37-6;162756-87-8;55679-92-0;293738-08-6;690254-82-1;30811-80-4	6131	C00055	IERHLVCPSMICTF-XVFCMESISA-N	CHEBI:17361			
sawai	SBmap07	FMN	FMN	FMN;Flavin mononucleotide	146-17-8	643976	C00061	FVTCRASFADXXNN-SCRDCRAPSA-N	CHEBI:17621			
sawai	SBmap07	Arginine	Arginine	Arginine;L-Arginine;Arg	74-79-3;142-49-4;7004-12-8;667422-95-9;1332377-47-5;154605-63-7;154605-67-1;4455-52-1;25212-18-4	6322	C00062	ODKSFYDXXFIFQN-BYPYZUCNSA-N	CHEBI:16467			
sawai	SBmap07	Cytidine triphosphate	CTP	Cytidine triphosphate;Cytidine 5'-triphosphate	65-47-4;1259312-99-6;1613528-28-1	6176	C00063	PCDQPRRSZKQHHS-XVFCMESISA-N	CHEBI:17677			
sawai	SBmap07	Glutamine	Glutamine	Glutamine;Gln	56-85-9	6992086	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N	CHEBI:18050			
sawai	SBmap07	Glutamine	L-Glutamine	L-Glutamine	56-85-9	6992086	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N	CHEBI:18050			
sawai	SBmap07	Serine	Serine	Serine;L-Serine;Ser	56-45-1;6898-95-9;154605-73-9;25821-52-7	5951	C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N	CHEBI:17115			
sawai	SBmap11	Thiamine pyrophosphate	ThPP		154-87-0;55056-45-6;74992-00-0;902463-63-2	9068	C00068	YXVCLPJQTZXJLH-UHFFFAOYSA-N	CHEBI:9532			
sawai	SBmap07	Ascorbic acid	Ascorbic acid	Ascorbic acid	50-81-7;129940-97-2;14536-17-5;30208-61-8;50976-75-5;56172-55-5;56533-05-2;57304-74-2;57606-40-3;89924-69-6;154170-90-8;259133-78-3;623158-95-2;884381-69-5;885512-24-3;88845-26-5;882690-91-7;1018124-03-2;1129294-89-8	54670067	C00072	CIWBSHSKHKDKBQ-JLAZNSOCSA-N	CHEBI:29073			
sawai	SBmap07	Methionine	Methionine	Methionine;L-Methionine;Met	1428525-25-0;1129294-89-8	6137	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N	CHEBI:16643			
sawai	SBmap07	Phosphoenolpyruvic acid	Phosphoenolpyruvic acid	Phosphoenolpyruvic acid;PEP	1428525-25-0;1703051-92-6;6730-29-6;53262-66-1	1005	C00074	DTBNBXWJWCWCIK-UHFFFAOYSA-N	CHEBI:44897			
sawai	SBmap07	Uridine triphosphate	UTP	Uridine triphosphate;Uridine 5'-triphosphate	63-68-3;24425-78-3;7005-18-7;1437749-32-0;1437749-60-4;1437749-65-9;1437749-75-1;1437749-80-8;1437769-00-0;1437870-94-4;1437870-95-5;1437870-97-7;1437870-98-8;1437871-20-9;1463481-01-7;1463481-06-2;1463481-15-3;1463481-19-7;1463481-23-3;1463481-27-7;1463481-31-3;1463481-37-9;1463481-41-5;1463481-46-0;1463481-51-7;1463481-58-4;1463481-73-3;1463481-80-2;1463481-89-1;1463610-75-4;1463610-76-5;1466415-57-5;3654-96-4;26062-47-5;58576-49-1	6133	C00075	PGAVKCOVUIYSFO-XVFCMESISA-N	CHEBI:15713			
sawai	SBmap07	Ornithine	Ornithine	Ornithine;Ornitine;L-Ornithine;Orn	138-08-09;101015-20-7;53230-12-9;80206-33-3;1309961-12-3;923-14-8	6262	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N	CHEBI:15729			
sawai	SBmap07	Tryptophan	Tryptophan	Tryptophan;L-Tryptophan;Trp		6305	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N	CHEBI:16828			
sawai	SBmap07	Phenylalanine	Phenylalanine	Phenylalanine;L-Phenylalanine;Phe	63-39-8;266356-22-3	994	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	CHEBI:17295			
sawai	SBmap11	Inosine 5'-triphosphate	ITP		70-26-8;7006-33-9;410523-46-5;204201-13-8;25104-12-5;3184-13-2	135398643	C00081	HAEJPQIATWHALX-KQYNXXCUSA-N	CHEBI:16039			
sawai	SBmap07	Tyrosine	Tyrosine	Tyrosine;L-Tyrosine;Tyr	73-22-3;6912-86-3;80206-30-0;154635-35-5	6057	C00082	OUYCCCASQSFEME-QMMMGPOBSA-N	CHEBI:17895			
sawai	SBmap07	Malonyl CoA	Malonyl CoA	Malonyl coenzyme A	150-30-1;30394-07-1;63-91-2;673-06-3	3383	C00083	LTYOQGRJFJAKNA-DVVLENMVSA-N	CHEBI:15531			
sawai	SBmap07	Fructose 6-phosphate	Fructose 6-phosphate	Fructose 6-phosphate;D-Fructose 6-phosphate;F6P	0132-06-9	69507	C00085	GSXOAOHZAIYLCY-HSUXUTPPSA-N	CHEBI:61553			
sawai	SBmap07	Urea	Urea	Urea	60-18-4;140-43-2;1991-85-1;46209-14-7;55520-40-6;1207451-88-4;25619-78-7	1176	C00086	XSQUKJJJFZCRTK-UHFFFAOYSA-N	CHEBI:16199			
sawai	SBmap07	Sucrose	Sucrose	Sucrose	524-14-1	5988	C00089	CZMRCDWAGMRECN-UGDNZRGBSA-N	CHEBI:17992			
sawai	SBmap07	Catechol	Catechol	Catechol	643-13-0;6814-87-5	289	C00090	YCIMNLLNPGFGHC-UHFFFAOYSA-N	CHEBI:18135			
sawai	SBmap07	Succinyl coenzyme A	Succinyl coenzyme A	Succinyl coenzyme A;Succinyl-CoA;Suc-CoA;SuccinylCoA;Succinyl CoA	57-13-6;30535-50-3;860639-56-1;118548-06-4;1202865-46-0;1228376-38-2;1637232-71-3;2060607-07-8;923953-70-2;4744-36-9;173994-65-5;174693-33-5;173144-80-4;175276-38-7;37955-36-5	92133	C00091	VNOYUJKHFWYWIR-ITIYDSSPSA-N	CHEBI:15380			
