グループ	MapID	ソート用	マップ上の名前	名前	CAS	PubChem	KEGG	Inchikey	ChEBI	HMDB	Lipidmaps	lipid categories No.
yatabe	SBmap07	Hydroxylamine	Hydroxylamine	Hydroxylamine	7803-49-8	787	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N	CHEBI:15429			
yatabe	SBmap11	Dihydroxybenzoate	2,3-Dihydroxybenzoate	2,3-Dihydroxybenzoate	303-38-8	19	C00196	GLDQAMYCGOIJDV-UHFFFAOYSA-N	ChEBI:18026;36654			
yatabe	SBmap01	Phosphoglyceric acid	3-Phosphoglyceric acid	3-Phosphoglyceric acid;3-Phospho-D-glyceric acid;3-PGA;3PG	0820-11-1	724	C00197;C00597	OSJPPGNTCRNQQC-UWTATZPHSA-N	CHEBI:17794			
yatabe	SBmap07	Glucono-1,5-lactone	Glucono-1,5-lactone	Glucono-1,5-lactone;D-Glucono-1,5-lactone;Gluconolactone	90-80-2	7027	C00198	PHOQVHQSTUBQQK-SQOUGZDYSA-N	CHEBI:16217			
yatabe	SBmap07	Ribulose 5-phosphate	Ribulose 5-phosphate	Ribulose 5-phosphate;D-Ribulose 5-phosphate;Ru5P	551-85-9	439184	C00199	FNZLKVNUWIIPSJ-UHNVWZDZSA-N	CHEBI:17363			
matsuda	SBmap11	Deoxyadenosine 5'-diphosphate	dADP	2'-Deoxyadenosine 5'-diphosphate	2793-06-8	188966	C00206	DAEAPNUQQAICNR-RRKCRQDMSA-N	CHEBI:16174			
yatabe	SBmap07	Oxalic acid	Oxalic acid	Oxalic acid	144-62-7	971	C00209	MUBZPKHOEPUJKR-UHFFFAOYSA-N	CHEBI:16995;30623			
yatabe	SBmap07	Adenosine	Adenosine	Adenosine	58-61-7	60961	C00212	OIRDTQYFTABQOQ-KQYNXXCUSA-N	CHEBI:16335			
yatabe	SBmap07	Sarcosine	Sarcosine	Sarcosine	107-97-1	1088	C00213	FSYKKLYZXJSNPZ-UHFFFAOYSA-N	CHEBI:15611			
yatabe	SBmap07	Thymidine	Thymidine	Thymidine	50-89-5	5789	C00214	IQFYYKKMVGJFEH-XLPZGREQSA-N	CHEBI:17748			
yatabe	SBmap07	Arabinose	D-Arabinose	Arabinose	10323-20-3	6902	C00216	PYMYPHUHKUWMLA-WDCZJNDASA-N	ChEBI:17108;46994			
yatabe	SBmap07	Arachidonic acid	Arachidonic acid	Arachidonic acid	506-32-1	444899	C00219	YZXBAPSDXZZRGB-DOFZRALJSA-N	CHEBI:15843			
yatabe	SBmap07	Protocatechuic acid	Protocatechuic acid	Protocatechuic acid;3,4-Dihydroxybenzoate	99-50-3	72	C00230	YQUVCSBJEUQKSH-UHFFFAOYSA-N	CHEBI:36062;36241			
yatabe	SBmap07	Xylulose 5-phosphate	Xu5P	Xylu5P;D-Xylulose 5-phosphate;Xylulose 5-phosphate;X5P;Xu5P	4212-65-1	439190	C00231	FNZLKVNUWIIPSJ-RFZPGFLSSA-L	CHEBI:16332			
yatabe	SBmap04	Succinatesemialdehyde	Succinatesemialdehyde	Succinatesemialdehyde	692-29-5	1112	C00232	UIUJIQZEACWQSV-UHFFFAOYSA-N	CHEBI:16265			
yatabe	SBmap07	Ketoisocaproic acid	2-Ketoisocaproic acid	2-Ketoisocaproic acid	816-66-0	70	C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N	ChEBI:17865;48430			
yatabe	SBmap11	Ketoleucine	Ketoleucine		816-66-0	70	C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N	ChEBI:17865;48430			
yatabe	SBmap11	Methyl-2-oxovaleric acid	4-Methyl-2-oxovaleric acid	4-Methyl-2-oxovaleric acid	816-66-0	70	C00233	BKAJNAXTPSGJCU-UHFFFAOYSA-N	ChEBI:17865;48430			
yatabe	SBmap07	Formyl-THF	Formyl-THF	10-Formyltetrahydrofolate	2800-34-2	135398556	C00234	AUFGTPPARQZWDO-YUZLPWPTSA-N	ChEBI:15637			
yatabe	SBmap07	DMAPP	DMAPP	Dimethylallyl diphosphate	358-72-5	647	C00235	CBIDRCWHNCKSTO-UHFFFAOYSA-N	CHEBI:16057			
yatabe	SBmap07	Bisphosphoglyceric acid	1,3-Bisphosphoglyceric acid	1,3-Bisphosphoglyceric acid	38168-82-0	439191	C00236	LJQLQCAXBUHEAZ-UWTATZPHSA-N	CHEBI:16001			
yatabe	SBmap11	Deoxycytidine 5'-monophosphate	dCMP	2'-Deoxycytidine 5'-monophosphate	1032-65-1	13945	C00239	NCMVOABPESMRCP-SHYZEUOFSA-N	CHEBI:15918			
yatabe	SBmap07	Guanine	Guanine	Guanine	73-40-5	135398634	C00242	UYTPUPDQBNUYGX-UHFFFAOYSA-N	CHEBI:16235			
yatabe	SBmap07	Taurine	Taurine	Taurine	107-35-7	1123	C00245	XOAAWQZATWQOTB-UHFFFAOYSA-N	CHEBI:15891			
yatabe	SBmap11	Butyric acid	Butyric acid	1-Butyric acid	107-92-6	264	C00246	FERIUCNNQQJTOY-UHFFFAOYSA-N	CHEBI:17968;30772			
yatabe	SBmap07	Palmitic acid	Palmitic acid	Palmitic acid	57-10-3	985	C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N	CHEBI:15756			
yatabe	SBmap07	Pyridoxal	Pyridoxal	Pyridoxal	66-72-8	1050	C00250	RADKZDMFGJYCBB-UHFFFAOYSA-N	CHEBI:17310			
yatabe	SBmap07	Isomaltose	Isomaltose	Isomaltose	499-40-1	439193	C00252	DLRVVLDZNNYCBX-RTPHMHGBSA-N	CHEBI:28189			
yatabe	SBmap07	Nicotinic acid	Nicotinic acid	Nicotinic acid	59-67-6	938	C00253	PVNIIMVLHYAWGP-UHFFFAOYSA-N	CHEBI:15940			
yatabe	SBmap11	Prephenic acid	Prephenic acid		126-49-8	1028	C00254	FPWMCUPFBRFMLH-UHFFFAOYSA-N	CHEBI:29934;84387			
yatabe	SBmap03	Riboflavin	Riboflavin	Riboflavin	83-88-5	493570	C00255	AUNGANRZJHBGPY-SCRDCRAPSA-N	CHEBI:17015			
yatabe	SBmap07	Gluconic acid	Gluconic acid	Gluconic acid;D-Gluconic acid	526-95-4	10690	C00257	RGHNJXZEOKUKBD-SQOUGZDYSA-N	CHEBI:18391;33198			
yatabe	SBmap07	Glyceric acid	Glyceric acid	Glyceric acid;D-Glyceric acid;Glycerate	473-81-4	439194	C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N	CHEBI:16659;32398			
yatabe	SBmap11	L-Arabinose	L-Arabinose	L-Arabinose	147-81-9	439195	C00259	SRBFZHDQGSBBOR-HWQSCIPKSA-N	CHEBI:17535			
yatabe	SBmap07	Hypoxanthine	Hypoxanthine	Hypoxanthine	68-94-0	135398638	C00262	FDGQSTZJBFJUBT-UHFFFAOYSA-N	CHEBI:17368			
yatabe	SBmap07	Homoserine	Homoserine	Homoserine;L-Homoserine;HomoSer	672-15-1	12647	C00263	UKAUYVFTDYCKQA-VKHMYHEASA-N	CHEBI:15699			
yatabe	SBmap07	Mannose 6-phosphate	Mannose 6-phosphate	Mannose 6-phosphate;D-Mannose 6-phosphate;M6P	3672-15-9	65127	C00275	NBSCHQHZLSJFNQ-QTVWNMPRSA-N	CHEBI:17369;48066			
yatabe	SBmap07	Erythrose 4-phosphate	Erythrose 4-phosphate	Erythrose 4-phosphate;D-Erythrose 4-phosphate;E4P	585-18-2	122357	C00279	NGHMDNPXVRFFGS-IUYQGCFVSA-N	CHEBI:48153			
yatabe	SBmap11	Deoxyguanosine 5'-triphosphate	dGTP	2'-Deoxyguanosine 5'-triphosphate	2564-35-4	135398599	C00286	HAAZLUGHYHWQIW-KVQBGUIXSA-N	CHEBI:16497			
yatabe	SBmap07	Inosine	Inosine	Inosine	58-63-9	135398641	C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N	CHEBI:17596			
yatabe	SBmap07	Orotic acid	Orotic acid	Orotic acid	65-86-1	967	C00295	PXQPEWDEAKTCGB-UHFFFAOYSA-N	CHEBI:16742			
yatabe	SBmap11	Quinic acid	Quinic acid		77-95-2	6508	C00296	AAWZDTNXLSGCEK-LNVDRNJUSA-N	ChEBI:17521;29751			
yatabe	SBmap07	Uridine	Uridine	Uridine	58-96-8	6029	C00299	DRTQHJPVMGBUCF-XVFCMESISA-N	CHEBI:16704			
yatabe	SBmap07	Creatine	Creatine	Creatine	57-00-1	586	C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N	CHEBI:16919			
yatabe	SBmap11	Adenosine 5'-diphosphate ribose	ADP-Rib	Adenosine 5'-diphosphate ribose;ADP-ribose	20762-30-5	445794	C00301	SRNWOUGRCWSEMX-KEOHHSTQSA-N	CHEBI:16960			
yatabe	SBmap07	Citicoline	Citicoline	Citicoline	987-78-0	13804	C00307	RZZPDXZPRHQOCG-OJAKKHQRSA-N	CHEBI:16436			
yatabe	SBmap07	Ribulose	Ribulose	Ribulose;D-Ribulose	488-84-6	439203	C00309	ZAQJHHRNXZUBTE-UHFFFAOYSA-N	CHEBI:17173			
yatabe	SBmap07	Isocitric acid	Isocitric acid	Isocitric acid;IsoCit;Isocitrate	320-77-4	1198	C00311	ODBLHEXUDAPZAU-UHFFFAOYSA-N	CHEBI:16087;30887			
yatabe	SBmap07	Pyridoxine	Pyridoxine	Pyridoxine	65-23-6	1054	C00314	LXNHXLLTXMVWPM-UHFFFAOYSA-N	CHEBI:16709			
yatabe	SBmap07	Spermidine	Spermidine	Spermidine	124-20-9	1102	C00315	ATHGHQPFGPMSJY-UHFFFAOYSA-N	CHEBI:16610			
yatabe	SBmap07	Ketoadipic acid	2-Ketoadipic acid	2-Ketoadipic acid	3184-35-8	71	C00322	FGSBNBBHOZHUBO-UHFFFAOYSA-N	CHEBI:15753			
yatabe	SBmap07	Citrulline	Citrulline	Citrulline;L-Citrulline	372-75-8	9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N	CHEBI:16349			
yatabe	SBmap07	Kynurenine	Kynurenine	Kynurenine;L-Kynurenine	2922-83-0	161166	C00328	YGPSJZOEDVAXAB-QMMMGPOBSA-N	CHEBI:16946			
yatabe	SBmap11	Deoxyguanosine	Deoxyguanosine		961-07-9	135398592	C00330	YKBGVTZYEHREMT-KVQBGUIXSA-N	CHEBI:17172			
yatabe	SBmap07	Acetoacetyl CoA	Acetoacetyl CoA	Acetoacetyl CoA;Acetoacetyl-Coenzyme A;AcAce-CoA	1420-36-6	92153	C00332	OJFDKHTZOUZBOS-CITAKDKDSA-N	CHEBI:15345			
matsuda,yatabe	SBmap07	Aminobutyric acid	GABA	4-Aminobutyric acid;Gamma-Aminobutyric acid	56-12-2	119	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N	CHEBI:16865;30566			
yatabe	SBmap07	Dihydroorotic acid	Dihydroorotic acid	Dihydroorotic acid;L-Dihydroorotate;Dihydroorotate	5988-19-2	439216	C00337	UFIVEPVSAGBUSI-REOHCLBHSA-N	CHEBI:17025			
yatabe	SBmap07	Phosphogluconic acid	6-Phosphogluconic acid	6-Phosphogluconic acid;6PG	921-62-0	91493	C00345	BIRSGZKFKXLSJQ-SQOUGZDYSA-N	CHEBI:48928			
noguchi	SBmap07	Phosphoethanolamine	O-Phosphoethanolamine	O-Phosphoethanolamine	1071-23-4	1015	C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N	CHEBI:17553			
noguchi	SBmap11	D-Glucosamine 6-phosphate	Glucosamine 6P	D-Glucosamine 6-phosphate	3616-42-0	440997	C00352	XHMJOUIAFHJHBW-IVMDWMLBSA-N	CHEBI:15873;47987			
noguchi	SBmap07	Fructose 1,6-bisphosphate	Fructose 1,6-bisphosphate	Fructose 1,6-bisphosphate;D-Fructose 1,6-bisphosphate;FBP	488-69-7	172313	C00354	RNBGYGVWRKECFJ-VRPWFDPXSA-N	CHEBI:16905;37736			
noguchi	SBmap07	Dopa	Dopa	Dopa	59-92-7	6047	C00355	WTDRDQBEARUVNC-LURJTMIESA-N	CHEBI:15765			
noguchi	SBmap07	HMG-CoA	HMG-CoA	3-Hydroxy-3-methylglutaryl-CoA	1553-55-5	445127	C00356	CABVTRNMFUVUDM-VRHQGPGLSA-N	CHEBI:15467			
noguchi	SBmap11	N-Acetyl-D-glucosamine 6-phosphate	N-Acetyl-glucosamine-6P		18191-20-3	440996	C00357	BRGMHAYQAZFZDJ-RTRLPJTCSA-N	CHEBI:15784			
noguchi	SBmap11	Deoxyadenosine 5'-monophosphate	dAMP	2'-Deoxyadenosine 5'-monophosphate	653-63-4	12599	C00360	KHWCHTKSEGGWEX-RRKCRQDMSA-N	CHEBI:17713			
noguchi	SBmap11	Deoxyguanosine 5'-diphosphate	dGDP	2'-Deoxyguanosine 5'-diphosphate	3493-09-02	135398595	C00361	CIKGWCTVFSRMJU-KVQBGUIXSA-N	CHEBI:28862			
noguchi	SBmap11	Deoxyguanosine 5'-monophosphate	dGMP	2'-Deoxyguanosine 5'-monophosphate	902-04-5	135398597	C00362	LTFMZDNNPPEQNG-KVQBGUIXSA-N	CHEBI:16192			
noguchi	SBmap07	Deoxythymidine 5'-diphosphate	dTDP	dTDP;Deoxythymidine 5'-diphosphate	491-97-4	164628	C00363	UJLXYODCHAELLY-XLPZGREQSA-N	CHEBI:18075			
matsuda,noguchi	SBmap07	Deoxythymidine 5'-phosphate	dTMP	dTMP;Thymidine 5'-phosphate;Deoxythymidine 5'-phosphate;Thymidylic acid;5'-Thymidylic acid;Thymidine monophosphate;Deoxythymidylic acid;Thymidylate	365-07-1	9700	C00364	GYOZYWVXFNDGLU-XLPZGREQSA-N	CHEBI:17013			
noguchi	SBmap11	Deoxyuridine 5'-phosphate	dUMP	2'-Deoxyuridine 5'-phosphate	964-26-1	65063	C00365	JSRLJPSBLDHEIO-SHYZEUOFSA-N	CHEBI:17622			
noguchi	SBmap07	Uric acid	Uric acid	Uric acid	69-93-2	1175	C00366	LEHOTFFKMJEONL-UHFFFAOYSA-N	CHEBI:17775			
noguchi	SBmap11	Thiamine	Thiamine		70-16-6	1130	C00378	JZRWCGZRTZMZEH-UHFFFAOYSA-N	CHEBI:18385			
noguchi	SBmap07	Xylitol	Xylitol	Xylitol;D-Xylitol	87-99-0	6912	C00379	HEBKCHPVOIAQTA-NGQZWQHPSA-N	CHEBI:17151			
noguchi	SBmap07	Cytosine	Cytosine	Cytosine	71-30-7	597	C00380	OPTASPLRGRRNAP-UHFFFAOYSA-N	CHEBI:16040			
noguchi	SBmap07	Malonic acid	Malonic acid	Malonic acid	141-82-2	867	C00383	OFOBLEOULBTSOW-UHFFFAOYSA-N	CHEBI:15792;30794			
noguchi	SBmap07	Xanthine	Xanthine	Xanthine	69-89-6	1188	C00385	LRFVTYWOQMYALW-UHFFFAOYSA-N	CHEBI:17712;48517			
noguchi	SBmap07	Carnosine	Carnosine	Carnosine	305-84-0	439224	C00386	CQOVPNPJLQNMDC-ZETCQYMHSA-N	CHEBI:15727			
noguchi	SBmap07	Guanosine	Guanosine	Guanosine	118-00-3	135398635	C00387	NYHBQMYGNKIUIF-UUOKFMHZSA-N	CHEBI:16750			
noguchi	SBmap07	Histamine	Histamine	Histamine	51-45-6	774	C00388	NTYJJOPFIAHURM-UHFFFAOYSA-N	CHEBI:18295			
noguchi	SBmap07	Mannitol	Mannitol	Mannitol;D-Mannitol	69-65-8	6251	C00392	FBPFZTCFMRRESA-KVTDHHQDSA-N	CHEBI:16899			
noguchi	SBmap11	Guanosine 5'-diphosphate glucose	GDP-Glc			135398656	C00394	MVMSCBBUIHUTGJ-IKVBDKFJSA-N	CHEBI:17383;29062;62254			
noguchi	SBmap07	Tryptamine	Tryptamine	Tryptamine	61-54-1	1150	C00398	APJYDQYYACXCRM-UHFFFAOYSA-N	CHEBI:16765			
noguchi	SBmap07	Isoleucine	Isoleucine	Isoleucine;L-Isoleucine;Ile	73-32-5	6306	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N	CHEBI:17191			
noguchi	SBmap11	Pipecolic acid	Pipecolic acid		3105-95-1	439227	C00408	HXEACLLIILLPRG-YFKPBYRVSA-N	CHEBI:30633;30913			
noguchi	SBmap11	Dihydrofolic acid	Dihydrofolic acid		4033-27-6	135398604	C00415	OZRNSSUDZOLUSN-LBPRGKRZSA-N	CHEBI:15633			
noguchi	SBmap07	aconitate	cis-aconitate	cis-aconitate;Aconitic acid	585-84-2	643757	C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N	CHEBI:16383;32805			
noguchi	SBmap11	cis-Aconitic acid	cis-Aco		585-84-2	643757	C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N	CHEBI:16383;32805			
noguchi	SBmap07	Mevalonate	Mevalonate	Mevalonate	17817-88-8	439230	C00418	KJTLQQUUPVSXIM-ZCFIWIBFSA-N	CHEBI:17710;36464			
noguchi	SBmap07	Cinnamic acid	Cinnamic acid	Cinnamic acid;trans-Cinnamic acid	0140-10-03	444539	C00423	WBYWAXJHAXSJNI-VOTSOKGWSA-N	CHEBI:15669;35697			
noguchi	SBmap07	Dihydrouracil	Dihydrouracil	Dihydrouracil;5,6-Dihydrouracil;5,6-Dihydrouracil	0504-07-04	649	C00429	OIVLITBTBDPEFK-UHFFFAOYSA-N	CHEBI:15901			
noguchi	SBmap07	Aminolevulinic acid	5-Aminolevulinic acid	5-Aminolevulinic acid	106-60-5	137	C00430	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	CHEBI:17549			
noguchi	SBmap07	Aminovaleric acid	5-Aminovaleric acid	5-Aminovaleric acid;5-Aminopentanoate;5-Aminopentanoate	660-88-8	138	C00431	JJMDCOVWQOJGCB-UHFFFAOYSA-N	CHEBI:15887			
noguchi	SBmap04	N-Carbamoyl-L-aspartate	N-Carbamoyl-L-aspartate	N-Carbamoyl-L-aspartate;N-Carbamoyl-Asp	13184-27-5	93072	C00438	HLKXYZVTANABHZ-REOHCLBHSA-N	CHEBI:15859			
noguchi	SBmap07	Formimino-L-glutamate	Formimino-L-glutamate	Formimino-L-glutamate;N-Formimino-L-Glutamate	816-90-0	439233	C00439	NRXIKWMTVXPVEF-BYPYZUCNSA-N	CHEBI:18327;7274			
noguchi	SBmap05	Aspartate-4-semialdehyde	Aspartate-4-semialdehyde	Aspartate-4-semialdehyde	15106-57-7	439235	C00441	HOSWPDPVFBCLSY-VKHMYHEASA-N	CHEBI:13086;18051			
noguchi	SBmap11	Methenyltetrahydrofolic acid	5,10-Methenyltetrahydrofolic acid		7444-29-3	135398657	C00445	MEANFMOQMXYMCT-ABLWVSNPSA-O	CHEBI:15638			
noguchi	SBmap07	Saccharopine	Saccharopine	Saccharopine;L-Saccharopine	997-68-2	160556	C00449	ZDGJAHTZVHVLOT-YUMQZZPRSA-N	CHEBI:16927			
noguchi	SBmap11	Nicotinamide mononucleotide	NMN		1094-61-7	14180	C00455	DAYLJWODMCOQEW-TURQNECASA-N	CHEBI:16171			
noguchi	SBmap11	Deoxycytidine 5'-triphosphate	dCTP		2056-98-6	65091	C00458	RGWHQCVHVJXOKC-SHYZEUOFSA-N	CHEBI:16311			
noguchi	SBmap07	Deoxythymidine triphosphate	dTTP	dTTP;Deoxythymidine triphosphate;Deoxythymidine 5'-triphosphate;TTP	365-08-2	64968	C00459	NHVNXKFIZYSCEB-XLPZGREQSA-N	CHEBI:18077			
noguchi	SBmap11	Deoxyuridine 5'-triphosphate	dUTP	2'-Deoxyuridine 5'-triphosphate	1173-82-6	65070	C00460	AHCYMLUZIRLXAA-SHYZEUOFSA-N	CHEBI:17625			
noguchi	SBmap07	Ribitol	Ribitol	Ribitol	488-81-3	6912	C00474	HEBKCHPVOIAQTA-UHFFFAOYSA-N	CHEBI:15963			
noguchi	SBmap07	Cytidine	Cytidine	Cytidine	65-46-3	6175	C00475	UHDGCWIWMRVCDJ-XVFCMESISA-N	CHEBI:17562			
noguchi	SBmap11	Sinapic acid	Sinapic acid		7362-37-0;530-59-6	637775	C00482	PCMORTLOPMLEFB-ONEGZZNKSA-N	CHEBI:15714			
noguchi	SBmap07	Tyramine	Tyramine	Tyramine	51-67-2	5610	C00483	DZGWFCGJZKJUFP-UHFFFAOYSA-N	CHEBI:15760			
noguchi	SBmap11	Bilirubin	Bilirubin		635-65-4	5280352	C00486	BPYKTIZUTYGOLE-IFADSCNNSA-N	CHEBI:16990			
noguchi	SBmap07	Carnitine	Carnitine	Carnitine	406-76-8	85	C00487	PHIQHXFUZVPYII-UHFFFAOYSA-N	CHEBI:17126;3424			
noguchi	SBmap07	Glutaric acid	Glutaric acid	Glutaric acid;Glutaric acid;Glutaric acid	110-94-1	743	C00489	JFCQEDHGNNZCLN-UHFFFAOYSA-N	CHEBI:17859			
noguchi	SBmap07	Cystine	Cystine	Cystine;L-Cystine;Cys-Cys	56-89-3	67678	C00491	LEVWYRKDKASIDU-IMJSIDKUSA-N	CHEBI:16283			
noguchi	SBmap11	Raffinose	Raffinose		512-69-6	439242	C00492	MUPFEKGTMRGPLJ-ZQSKZDJDSA-N	CHEBI:16634			
noguchi	SBmap07	Shikimic acid	Shikimic acid	Shikimic acid	138-59-0	8742	C00493	JXOHGGNKMLTUBP-HSUXUTPPSA-N	CHEBI:16119			
noguchi	SBmap11	Adenosine 5'-diphosphate glucose	ADP-Glc		2140-58-1	16500	C00498	WFPZSXYXPSUOPY-ROYWQJLOSA-N	CHEBI:15751			
noguchi	SBmap11	Allantoic acid	Allantoic acid		99-16-1	203	C00499	NUCLJNSWZCHRKL-UHFFFAOYSA-N	CHEBI:17536;30837			
noguchi	SBmap07	meso-Erythritol	meso-Erythritol	meso-Erythritol	149-32-6	222285	C00503	UNXHWFMMPAWVPI-ZXZARUISSA-N	CHEBI:17113;48299			
noguchi	SBmap11	Folic acid	Folic acid		59-30-3	135398658	C00504	OVBPIULPVIDEAO-LBPRGKRZSA-N	CHEBI:27470			
noguchi	SBmap07	Cysteic acid	Cysteic acid	Cysteic acid;L-Cysteic acid	13100-82-8	72886	C00506	XVOYSCVBGLVSOL-UHFFFAOYSA-N	CHEBI:17285			
noguchi	SBmap07	Rhamnose	Rhamnose	Rhamnose;L-Rhamnose	10485-94-6	19233	C00507	SHZGCJCMOBCMKK-JFNONXLTSA-N	CHEBI:62345;62346			
noguchi	SBmap11	Naringenin	Naringenin		480-41-1	439246	C00509	FTVWIRXFELQLPI-ZDUSSCGKSA-N	CHEBI:17846			
noguchi	SBmap07	Hypotaurine	Hypotaurine	Hypotaurine	300-84-5	107812	C00519	VVIUBCNYACGLLV-UHFFFAOYSA-N	CHEBI:16668			
noguchi	SBmap07	Deoxyuridine	2'-Deoxyuridine	2'-Deoxyuridine;Deoxyuridine	951-78-0	13712	C00526	MXHRCPNRJAMMIM-SHYZEUOFSA-N	CHEBI:16450			
noguchi	SBmap07	Hydroquinone	Hydroquinone	Hydroquinone	123-31-9	785	C00530	QIGBRXMKCJKVMJ-UHFFFAOYSA-N	CHEBI:17594			
noguchi	SBmap07	Pyridoxamine	Pyridoxamine	Pyridoxamine	85-87-0	1052	C00534	NHZMQXZHNVQTQA-UHFFFAOYSA-N	CHEBI:16410			
noguchi	SBmap07	Homogentisic acid	Homogentisic acid	Homogentisic acid;Homogentisate;Homogentisate	451-13-8	780	C00544	IGMNYECMUMZDDF-UHFFFAOYSA-N	CHEBI:16169;44747			
noguchi	SBmap07	Norepinephrine	Norepinephrine	Norepinephrine	51-41-2	439260	C00547	SFLSHLFXELFNJZ-QMMMGPOBSA-N	CHEBI:18357			
noguchi	SBmap11	Deoxyadenosine	Deoxyadenosine		958-09-8	13730	C00559	OLXZPDWKRNYJJZ-RRKCRQDMSA-N	CHEBI:17256			
noguchi	SBmap07	Aminobenzoic acid	4-Aminobenzoic acid	4-Aminobenzoic acid;4-Aminobenzoate;Benzocaine	150-13-0	978	C00568	ALYNCZNDIQEVRV-UHFFFAOYSA-N	CHEBI:17836;30753			
noguchi	SBmap07	Adenosine 3',5'-cyclic monophosphate	cAMP	Adenosine 3',5'-cyclic monophosphate	60-92-4	6076	C00575	IVOMOUWHDPKRLL-KQYNXXCUSA-N	CHEBI:17489			
noguchi	SBmap11	Betaine aldehyde	Betaine aldehyde		7418-61-3	3855	C00576	SXKNCCSPZDCRFD-UHFFFAOYSA-N	CHEBI:15710			
noguchi	SBmap05	Guanidinoacetate	Guanidinoacetate	Guanidinoacetate	352-97-6	763	C00581	BPMFZUMJYQTVII-UHFFFAOYSA-N	CHEBI:16344			
noguchi	SBmap11	Propylene glycol	Propylene glycol		57-55-6	1030	C00583	DNIAPMSPPWPWGF-UHFFFAOYSA-N	CHEBI:16997			
noguchi	SBmap07	Deoxy-glucose	2-Deoxy-glucose	2-Deoxy-glucose	154-17-6	439268	C00586	PMMURAAUARKVCB-CERMHHMHSA-N	CHEBI:15866;84755			
noguchi	SBmap07	Hydroxybenzoic acid	3-Hydroxybenzoic acid	3-Hydroxybenzoic acid	10476-50-3	7420	C00587	IJFXRHURBJZNAO-UHFFFAOYSA-N	CHEBI:16193;30764			
noguchi	SBmap11	Phosphocholine	Phosphocholine		107-73-3	1014	C00588	YHHSONZFOIEMCP-UHFFFAOYSA-O	CHEBI:18132			
noguchi	SBmap07	Coniferyl alcohol	Coniferyl alcohol	Coniferyl alcohol	458-35-5	1549095	C00590	JMFRWRFFLBVWSI-NSCUHMNNSA-N	CHEBI:17745			
noguchi	SBmap11	L-Cysteinesulfinic acid	Cysteinesulfinic acid		1115-65-7	1549098	C00606	ADVPTQAUNPRNPO-REOHCLBHSA-N	CHEBI:16345			
noguchi	SBmap11	N-Acetyl-L-glutamate	N-Acetyl-Glu		1188-37-0	70914	C00624	RFMMMVDNIPUKGG-YFKPBYRVSA-N	CHEBI:17533;44337			
noguchi	SBmap11	Gentisic acid	Gentisic acid		490-79-9	3469	C00628	WXTMDXOMEHJXQO-UHFFFAOYSA-N	CHEBI:17189			
noguchi	SBmap07	Phosphoglyceric acid	2-Phosphoglyceric acid	2-Phosphoglyceric acid;2PG;2-Phospho-D-glyceric acid;2-PGA	2553-59-5	59	C00631	GXIURPTVHJPJLF-UHFFFAOYSA-N	CHEBI:17835			
noguchi	SBmap07	Phosphoglyceric acid_2-Phosphoglyceric acid	3-Phosphoglyceric acid_2-Phosphoglyceric acid	3-Phosphoglyceric acid_2-Phosphoglyceric acid	0820-11-1	439278	C00631;C00597	GXIURPTVHJPJLF-UWTATZPHSA-N	CHEBI:17835;17050			
noguchi	SBmap07	Hydroxyanthranilic acid	3-Hydroxyanthranilic acid	3-Hydroxyanthranilic acid	548-93-6	86	C00632	WJXSWCUQABXPFS-UHFFFAOYSA-N	CHEBI:15793;36559			
noguchi	SBmap11	P-Hydroxybenzaldehyde	P-Hydroxybenzaldehyde		123-08-0	126	C00633	RGHHSNMVTDWUBI-UHFFFAOYSA-N	CHEBI:17597			
noguchi	SBmap07	Mannose 1-phosphate	Mannose 1-phosphate	Mannose 1-phosphate;D-Mannose 1-phosphate;M1P	27251-84-9	439279	C00636	HXXFSFRBOHSIMQ-RWOPYEJCSA-N	CHEBI:18205;35374			
noguchi	SBmap11	Indole-3-acetaldehyde	Indole-3-acetaldehyde		2591-98-2	800	C00637	WHOOUMGHGSPMGR-UHFFFAOYSA-N	CHEBI:18086			
noguchi	SBmap07	Hydroxyphenylacetic acid	4-Hydroxyphenylacetic acid	4-Hydroxyphenylacetic acid;4-hydroxyphenylacetic acid	156-38-7	127	C00642	XQXPVVBIMDBYFF-UHFFFAOYSA-N	CHEBI:18101			
noguchi	SBmap07	Hydroxy-tryptophan	5-Hydroxy-tryptophan	5-Hydroxy-tryptophan	4350-09-8	439280	C00643	JRLGPAXAGHMNOL-LURJTMIESA-N	CHEBI:17780			
